Primary/Secondary,Landmark Name,Description,Neighborhood,Year Built,Chief Architect(s),Architect Nationality(ies),Construction Cost,Primary Funding Source,Status,Debt Accumulated,Contractor,Ethnic Make Up of Construction Team (if applicable),Lat,Lon,Photo?,Notes,Sources,,,,,,,,,,,,,,,,
Tertiary,Tomoca Coffee (Sarbet Branch),Coffee shop,Mekanisa/Old Airport,?,,,,,In use,,,,8.9963508,38.7357451,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ethiopian Institute of Architecture , Building Construction and City Development?",,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genet Hotel?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John F. Kennedy Library at Addis Ababa University,Academic Library,?,,Mezzedimi?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addis Ababa City Hall,City Hall,Piassa,,Arturo Mezzedimi,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiglachin (our struggle/the people's struggle) Monument Addis Ababa,Derg Monument,?,,Donated by North Korean Government,,,,,,Manufactured by Mansudae Art Studio,,,,,,https://www.reuters.com/article/us-northkorea-nuclear-un-statues-idUSKBN13Q4Z8/,,,,,,,,,,,,,,,,
,Afewerk Tekle’s Home & Studio,Home of one of the most famous painters in Ethiopian history ,Old Airport but out of the bounds of Mekanisa,,,,,,"Was partially destroyed during the Italian invasion, now in renovation",,,,9.00969950000000,38.7174306000000,,,,,,,,,,,,,,,,,,,
,Blue Nest Hotel?,,Mekanisa/Old Airport,,,,,,In use,,,,9.00141066509654,38.7378899674416,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
